"itemid";"clock";"num";"value_min";"value_avg";"value_max"
159138;1561100400;60;250488;8298536;20775632
159138;1561096800;59;823616;10741730;15429824
159138;1561093200;60;442448;11412316;27023736
159138;1561089600;60;10720504;12735343;20075160
159138;1561086000;60;715792;3671777;12945912
159138;1561082400;60;403184;3225355;12991952
159138;1561078800;60;447968;3191397;14381896
159138;1561075200;60;3083464;7798623;23844712
159138;1561071600;60;2889840;5994844;9713128
159138;1561068000;60;3451696;13315962;20382648
159138;1561064400;60;3730360;13028013;21323432
159138;1561060800;60;2705504;10290734;17519032
159138;1561057200;60;1974264;7499820;15814008
159138;1561053600;60;3751928;10050592;29843480
159138;1561050000;60;3682992;11495900;40526656
159138;1561046400;60;3774472;15004083;45487744
159138;1561042800;60;6019072;11238963;27810800
159138;1561039200;60;5135040;11922065;22746888
159138;1561035600;60;6568416;13704961;45074824
159138;1561032000;60;6633864;16446094;34129896
159138;1561028400;60;3592664;9580215;22496464
159138;1561024800;60;1965216;7471279;26453816
159138;1561021200;60;1911864;8436723;23362280
159138;1561017600;60;1642832;2894883;9175312
159138;1561014000;60;1396520;3348468;10802560
159138;1561010400;60;1757440;3350037;8202384
159138;1561006800;60;1846056;3059459;11714016
159138;1561003200;60;2302544;4740321;14255224
159138;1560999600;60;4482672;13239306;25712760
159138;1560996000;60;6035800;12366958;24168696
159138;1560992400;60;4117264;12083170;27402872
159138;1560988800;60;7243904;17206142;32344600
159138;1560985200;60;11129440;33687710;78573928
159138;1560981600;60;11815552;28385574;64874912
159138;1560978000;60;27888968;47482448;78254416
159138;1560974400;60;31603880;63432746;138232192
159138;1560970800;60;94923016;146885073;206134712
159138;1560967200;60;122336296;177827617;245654264
159138;1560963600;60;159859200;198681572;237980624
159138;1560960000;60;135275104;180781628;224394040
159138;1560956400;60;107861496;142920211;189906056
159138;1560952800;60;128373768;169883071;208820712
159138;1560949200;60;130892592;175884599;233363376
159138;1560945600;60;103850848;151217832;223276848
159138;1560942000;59;54049216;102963610;165547896
159138;1560938400;60;16228016;35984981;77819704
159138;1560934800;60;2683992;15600524;43782496
159138;1560931200;60;2033880;5778356;11665384
159138;1560927600;60;1802648;3724765;14364504
159138;1560924000;60;2026520;4122996;21041656
159138;1560920400;60;2417520;4539411;18887048
159138;1560916800;60;2259168;5784493;17024672
159138;1560913200;43;1683600;2839975;6514104
159138;1560909600;60;2666496;5562633;10405952
159138;1560906000;60;4671272;7921282;20277840
159138;1560902400;60;6259208;13010744;28551592
159138;1560898800;60;16077144;107094720;240290888
159138;1560895200;60;20976944;55099184;182871760
159138;1560891600;60;33044104;63091593;137500104
